filename,language,start,end,source
hin1,hindi,00:01:22,00:01:48,https://youtu.be/cjLgTiJ89ww?si=oNVwhXFxrugAwwsU  
hin2,hindi,00:02:41,00:03:21,https://youtu.be/cjLgTiJ89ww?si=oNVwhXFxrugAwwsU  
hin3,hindi,00:09:01,00:09:40,https://youtu.be/cjLgTiJ89ww?si=oNVwhXFxrugAwwsU  
hin4,hindi,00:00:40,00:01:39,https://youtu.be/TXXVfGAzcYw?si=r91z9wx29vOex8Ms
hin5,hindi,00:01:57,00:02:46,https://youtu.be/OqygZvnYg20?si=Vm9AgEDTLxmdSTb1
hin6,hindi,00:05:11,00:06:02,https://youtu.be/OqygZvnYg20?si=Vm9AgEDTLxmdSTb1
hin7,hindi,00:07:38,00:08:08,https://youtu.be/OqygZvnYg20?si=Vm9AgEDTLxmdSTb1
hin8,hindi,00:09:44,00:11:07,https://youtu.be/OqygZvnYg20?si=Vm9AgEDTLxmdSTb1
hin10,hindi,00:00:00,00:00:33,https://youtu.be/dHjcNG6ZmB0?si=_2edHnuhfAgY0-s9
hin11,hindi,00:01:11,00:02:16,https://youtu.be/dHjcNG6ZmB0?si=_2edHnuhfAgY0-s9
hin12,hindi,00:03:28,00:05:00,https://youtu.be/dHjcNG6ZmB0?si=_2edHnuhfAgY0-s9
hin13,hindi,00:00:00,00:00:55,https://youtube.com/shorts/q2oF5sWnD24?si=OsNEsMzf5cR3Kcmp
hin14,hindi,00:00:00,00:00:46,https://youtu.be/L18rSreQDKs?si=I4oTSEty62vCoiLa
hin15,hindi,00:00:00,00:00:43,https://youtu.be/SOraEs_-8Ko?si=MMFba6abxkpJFtCY
hin16,hindi,00:00:00,00:01:04,https://youtu.be/3aLN81dS9cg?si=3FumkWTwNwyy6gUd
hin17,hindi,00:01:35,00:02:34,https://youtu.be/3aLN81dS9cg?si=3FumkWTwNwyy6gUd
hin18,hindi,00:00:22,00:01:41,https://youtu.be/zZ0aHzPMPu4?si=GLD8c6q6HQkXWMKn
hin19,hindi,00:04:42,00:05:43,https://youtu.be/zZ0aHzPMPu4?si=GLD8c6q6HQkXWMKn
hin20,hindi,00:00:53,00:02:09,https://youtu.be/YGUvirerYVk?si=N6TsuiDP1p5rvaSd
hin21,hindi,00:02:10,00:03:40,https://youtu.be/YGUvirerYVk?si=N6TsuiDP1p5rvaSd
hin22,hindi,00:05:00,00:06:05,https://youtu.be/YGUvirerYVk?si=N6TsuiDP1p5rvaSd
hin23,hindi,00:01:56,00:02:52,https://youtu.be/6_uziBhKTMM?si=esiXxzIXVgkALa4I
hin24,hindi,00:02:53,00:04:12,https://youtu.be/6_uziBhKTMM?si=esiXxzIXVgkALa4I
hin25,hindi,00:06:30,00:07:54,https://youtu.be/xtRpilMI6m4?si=2DcfKbF7__S84zWj
hin26,hindi,00:07:55,00:09:13,https://youtu.be/xtRpilMI6m4?si=2DcfKbF7__S84zWj
hin27,hindi,00:08:24,00:09:49,https://youtu.be/6nI4od5cVCI?si=cyTBDx27YBl4WA7R
hin28,hindi,00:09:50,00:10:59,https://youtu.be/6nI4od5cVCI?si=cyTBDx27YBl4WA7R
hin29,hindi,00:11:00,00:12:27,https://youtu.be/6nI4od5cVCI?si=cyTBDx27YBl4WA7R
